Prognoseraum,Bezeichnung,Anteil,year
0501,SPA 1,92.4,2015
0502,SPA 2,94.1,2015
0503,SPA 3,92,2015
0504,SPA 4,96.6,2015
0601,Region A,96.6,2015
0602,Region B,95.8,2015
0603,Region C,98,2015
0604,Region D,97,2015
0701,Schöneberg-Nord,93.2,2015
0702,Schöneberg-Süd,93.4,2015
0703,Friedenau,97.1,2015
0704,Tempelhof,96.8,2015
0705,Mariendorf,95.4,2015
0706,Marienfelde,96,2015
0707,Lichtenrade,96.2,2015
0801,Neukölln,88.2,2015
0802,Britz-Buckow,92,2015
0803,Gropiusstadt,91.4,2015
0804,Buckow Nord / Rudow,93.3,2015
0901,Treptow-Köpenick 1,92.3,2015
0902,Treptow-Köpenick 2,90.1,2015
0903,Treptow-Köpenick 3,97,2015
0904,Treptow-Köpenick 4,91.9,2015
0905,Treptow-Köpenick 5,95.3,2015
1001,Marzahn,96.1,2015
1002,Hellersdorf,93.6,2015
1003,Biesdorf,96.9,2015
1004,Kaulsdorf / Mahlsdorf,97.5,2015
1101,Hohenschönhausen Nord,93.6,2015
1102,Hohenschönhausen Süd,97.7,2015
1103,Lichtenberg Nord,94.3,2015
1104,Lichtenberg Mitte,94.2,2015
1105,Lichtenberg Süd,96.6,2015
1210,Reinickendorf-Ost,90.5,2015
1221,Tegel,89.1,2015
1222,Heiligensee-Konradshöhe,95,2015
1223,Frohnau-Hermsdorf,97.5,2015
1230,Waidmannslust,93.4,2015
0101,Zentrum,86.58318425760287,2010
0102,Moabit,78.4090909090909,2010
0103,Gesundbrunnen,81.25984251968504,2010
0104,Wedding,77.05426356589147,2010
0201,Kreuzberg Nord,76.24434389140272,2010
0202,Kreuzberg Süd,87.35632183908046,2010
0203,Kreuzberg Ost,84.38914027149322,2010
0204,Friedrichshain West,91.59663865546219,2010
0205,Friedrichshain Ost,85.53459119496856,2010
0301,Buch,86.39455782312925,2010
0302,Nördliches Pankow,89.09574468085107,2010
0303,Nördliches Weißensee,91.13475177304964,2010
