Prognoseraum,Bezeichnung,Anteil,year
0201,Kreuzberg Nord,42.1,2008
0202,Kreuzberg Süd,22.2,2008
0203,Kreuzberg Ost,39.9,2008
0204,Friedrichshain West,25.2,2008
0205,Friedrichshain Ost,14.7,2008
0301,Buch,18.4,2008
0302,Nördliches Pankow,11.4,2008
0303,Nördliches Weißensee,10.5,2008
0304,Südliches Pankow,9.1,2008
0305,Südliches Weißensee,14.3,2008
0306,Nördlicher Prenzl. Berg,10.2,2008
0307,Südlicher Prenzl. Berg,6,2008
0401,Charlottenburg-Nord,17.8,2008
0402,Westend,8.7,2008
0403,Charlottenburg,17.5,2008
0404,Schmargendorf,10.8,2008
0405,Wilmersdorf,21.4,2008
0406,Forst Grunewald,0,2008
0501,SPA 1,23.2,2008
0502,SPA 2,22.6,2008
0503,SPA 3,34.2,2008
0504,SPA 4,11.4,2008
0601,Region A,14.5,2008
0602,Region B,17.7,2008
0603,Region C,9.8,2008
0604,Region D,6.2,2008
0701,Schöneberg-Nord,27.3,2008
0702,Schöneberg-Süd,21.8,2008
0703,Friedenau,12.5,2008
0704,Tempelhof,19.1,2008
0705,Mariendorf,12.9,2008
0706,Marienfelde,20.3,2008
0707,Lichtenrade,8.7,2008
0801,Neukölln,48.2,2008
0802,Britz-Buckow,26.3,2008
0803,Gropiusstadt,38,2008
0804,Buckow Nord / Rudow,16.4,2008
0901,Treptow-Köpenick 1,7.6,2008
0902,Treptow-Köpenick 2,7.8,2008
0903,Treptow-Köpenick 3,7.1,2008
0904,Treptow-Köpenick 4,5.5,2008
0905,Treptow-Köpenick 5,2.6,2008
1001,Marzahn,23.8,2008
1002,Hellersdorf,12.7,2008
1003,Biesdorf,4.4,2008
1004,Kaulsdorf / Mahlsdorf,4.3,2008
1101,Hohenschönhausen Nord,31,2008
1102,Hohenschönhausen Süd,16,2008
1103,Lichtenberg Nord,16.6,2008
1104,Lichtenberg Mitte,23.3,2008
1105,Lichtenberg Süd,2.9,2008
1210,Reinickendorf-Ost,52,2008
1221,Tegel,30.9,2008
1222,Heiligensee-Konradshöhe,9.3,2008
1223,Frohnau-Hermsdorf,11.3,2008
1230,Waidmannslust,28.6,2008
0101,Zentrum,17.6,2009
0102,Moabit,42.6,2009
0103,Gesundbrunnen,53.5,2009
0104,Wedding,50.6,2009
0201,Kreuzberg Nord,50.3,2009
0202,Kreuzberg Süd,26.6,2009
0203,Kreuzberg Ost,43.6,2009
0204,Friedrichshain West,5.9,2009
0205,Friedrichshain Ost,10.2,2009
0301,Buch,29.9,2009
0302,Nördliches Pankow,13.5,2009
0303,Nördliches Weißensee,15.1,2009
0304,Südliches Pankow,12.2,2009
0305,Südliches Weißensee,14.4,2009
0306,Nördlicher Prenzl. Berg,14.2,2009
0307,Südlicher Prenzl. Berg,9.5,2009
0401,Charlottenburg-Nord,17.5,2009
0402,Westend,8.1,2009
0403,Charlottenburg,17.9,2009
0404,Schmargendorf,14.1,2009
0405,Wilmersdorf,20.8,2009
0406,Forst Grunewald,0,2009
0501,SPA 1,24,2009
0502,SPA 2,25.9,2009
0503,SPA 3,26.8,2009
0504,SPA 4,7.3,2009
0601,Region A,13.5,2009
0602,Region B,14.1,2009
0603,Region C,8.6,2009
0604,Region D,5,2009
0701,Schöneberg-Nord,24.8,2009
0702,Schöneberg-Süd,26.2,2009
0703,Friedenau,16.3,2009
0704,Tempelhof,20,2009
0705,Mariendorf,23.6,2009
0706,Marienfelde,12.1,2009
0707,Lichtenrade,7.8,2009
0801,Neukölln,43.3,2009
0802,Britz-Buckow,24.6,2009
0803,Gropiusstadt,42.2,2009
0804,Buckow Nord / Rudow,19,2009
0901,Treptow-Köpenick 1,7.5,2009
0902,Treptow-Köpenick 2,7.8,2009
0903,Treptow-Köpenick 3,6.4,2009
0904,Treptow-Köpenick 4,10.4,2009
0905,Treptow-Köpenick 5,2.3,2009
1001,Marzahn,14.3,2009
1002,Hellersdorf,12.2,2009
1003,Biesdorf,3.2,2009
1004,Kaulsdorf / Mahlsdorf,4.1,2009
1101,Hohenschönhausen Nord,35.3,2009
1102,Hohenschönhausen Süd,18.8,2009
1103,Lichtenberg Nord,20.6,2009
1104,Lichtenberg Mitte,24,2009
1105,Lichtenberg Süd,5.4,2009
1210,Reinickendorf-Ost,37.9,2009
1221,Tegel,37.7,2009
1222,Heiligensee-Konradshöhe,11.6,2009
1223,Frohnau-Hermsdorf,7.2,2009
1230,Waidmannslust,31.3,2009
0101,Zentrum,17.8,2014
0102,Moabit,34.5,2014
0103,Gesundbrunnen,59.6,2014
0104,Wedding,43.1,2014
0201,Kreuzberg Nord,48.2,2014
0202,Kreuzberg Süd,18.1,2014
0203,Kreuzberg Ost,31.9,2014
0204,Friedrichshain West,11.7,2014
0205,Friedrichshain Ost,6.7,2014
0301,Buch,24.6,2014
0302,Nördliches Pankow,12.4,2014
0303,Nördliches Weißensee,12.1,2014
0304,Südliches Pankow,10.7,2014
0305,Südliches Weißensee,12.4,2014
0306,Nördlicher Prenzl. Berg,11.2,2014
0307,Südlicher Prenzl. Berg,10.4,2014
0401,Charlottenburg-Nord,28.8,2014
0402,Westend,10.6,2014
0403,Charlottenburg,24.7,2014
0404,Schmargendorf,19,2014
0405,Wilmersdorf,29,2014
0406,Forst Grunewald,0,2014
0501,SPA 1,30.9,2014
0502,SPA 2,28.4,2014
0503,SPA 3,27.1,2014
0504,SPA 4,12.6,2014
0601,Region A,17.5,2014
0602,Region B,17.3,2014
0603,Region C,10.1,2014
0604,Region D,5.7,2014
0701,Schöneberg-Nord,41.2,2014
0702,Schöneberg-Süd,24.6,2014
0703,Friedenau,13,2014
0704,Tempelhof,30.8,2014
0705,Mariendorf,27.2,2014
0706,Marienfelde,22,2014
0707,Lichtenrade,21.7,2014
0801,Neukölln,51.5,2014
0802,Britz-Buckow,30.9,2014
0803,Gropiusstadt,51.1,2014
0804,Buckow Nord / Rudow,24.8,2014
0901,Treptow-Köpenick 1,5.6,2014
0902,Treptow-Köpenick 2,9.7,2014
0903,Treptow-Köpenick 3,9.4,2014
0904,Treptow-Köpenick 4,7.7,2014
0905,Treptow-Köpenick 5,5.4,2014
1001,Marzahn,30.2,2014
1002,Hellersdorf,37,2014
1003,Biesdorf,2.9,2014
1004,Kaulsdorf / Mahlsdorf,16.6,2014
1101,Hohenschönhausen Nord,29.4,2014
1102,Hohenschönhausen Süd,30.1,2014
1103,Lichtenberg Nord,29.1,2014
1104,Lichtenberg Mitte,24.5,2014
1105,Lichtenberg Süd,6.7,2014
1210,Reinickendorf-Ost,47.9,2014
1221,Tegel,37.9,2014
1222,Heiligensee-Konradshöhe,7.9,2014
1223,Frohnau-Hermsdorf,6.8,2014
1230,Waidmannslust,45.5,2014
0101,Zentrum,16.6,2011
0102,Moabit,38.3,2011
0103,Gesundbrunnen,59.7,2011
0104,Wedding,56.2,2011
0201,Kreuzberg Nord,33.5,2011
0202,Kreuzberg Süd,16.2,2011
0203,Kreuzberg Ost,32.5,2011
0204,Friedrichshain West,8.1,2011
0205,Friedrichshain Ost,10.9,2011
0301,Buch,12.4,2011
0302,Nördliches Pankow,8.5,2011
0303,Nördliches Weißensee,7.1,2011
0304,Südliches Pankow,6.7,2011
0305,Südliches Weißensee,11.9,2011
0306,Nördlicher Prenzl. Berg,6.1,2011
0307,Südlicher Prenzl. Berg,6.3,2011
0401,Charlottenburg-Nord,11.9,2011
0402,Westend,15.3,2011
0403,Charlottenburg,12.8,2011
0404,Schmargendorf,11.6,2011
0405,Wilmersdorf,20.7,2011
0406,Forst Grunewald,0,2011
0501,SPA 1,27.4,2011
0502,SPA 2,23.8,2011
0503,SPA 3,24.4,2011
0504,SPA 4,15.2,2011
0601,Region A,15.6,2011
0602,Region B,10.7,2011
0603,Region C,9.2,2011
0604,Region D,5.4,2011
0701,Schöneberg-Nord,24.5,2011
0702,Schöneberg-Süd,16.9,2011
0703,Friedenau,15.2,2011
0704,Tempelhof,21.7,2011
0705,Mariendorf,22.8,2011
0706,Marienfelde,18.1,2011
0707,Lichtenrade,16.3,2011
0801,Neukölln,35.3,2011
0802,Britz-Buckow,28.1,2011
0803,Gropiusstadt,44.9,2011
0804,Buckow Nord / Rudow,18.6,2011
0901,Treptow-Köpenick 1,4.2,2011
0902,Treptow-Köpenick 2,6.3,2011
0903,Treptow-Köpenick 3,7.9,2011
0904,Treptow-Köpenick 4,6.8,2011
0905,Treptow-Köpenick 5,5.1,2011
1001,Marzahn,27.9,2011
1002,Hellersdorf,31.7,2011
1003,Biesdorf,6.2,2011
1004,Kaulsdorf / Mahlsdorf,10.9,2011
1101,Hohenschönhausen Nord,22.2,2011
1102,Hohenschönhausen Süd,19.3,2011
1103,Lichtenberg Nord,21.4,2011
1104,Lichtenberg Mitte,22,2011
1105,Lichtenberg Süd,3.2,2011
1210,Reinickendorf-Ost,39.9,2011
1221,Tegel,31.3,2011
1222,Heiligensee-Konradshöhe,8,2011
1223,Frohnau-Hermsdorf,6.6,2011
1230,Waidmannslust,32.8,2011
