Prognoseraum,Bezeichnung,Anteil,year
1003,Biesdorf,96.66666666666667,2010
1004,Kaulsdorf / Mahlsdorf,94.78527607361963,2010
1101,Hohenschönhausen Nord,90.9090909090909,2010
1102,Hohenschönhausen Süd,90,2010
1103,Lichtenberg Nord,92.41706161137441,2010
1104,Lichtenberg Mitte,86.45320197044335,2010
1105,Lichtenberg Süd,94.87179487179488,2010
1210,Reinickendorf-Ost,88.50267379679144,2010
1221,Tegel,83.65650969529086,2010
1222,Heiligensee-Konradshöhe,93.20388349514563,2010
1223,Frohnau-Hermsdorf,94.15807560137458,2010
1230,Waidmannslust,83.9943342776204,2010
0101,Zentrum,85.33094812164579,2006
0102,Moabit,74.28571428571429,2006
0103,Gesundbrunnen,62.10670314637483,2006
0104,Wedding,63.23155216284987,2006
0201,Kreuzberg Nord,76.70454545454545,2006
0202,Kreuzberg Süd,79.96357012750455,2006
0203,Kreuzberg Ost,81.52985074626865,2006
0204,Friedrichshain West,90.45801526717557,2006
0205,Friedrichshain Ost,89.80044345898004,2006
0301,Buch,89.91596638655462,2006
0302,Nördliches Pankow,95.1923076923077,2006
0303,Nördliches Weißensee,92.99363057324841,2006
0304,Südliches Pankow,92.99450549450549,2006
0305,Südliches Weißensee,91.83098591549296,2006
0306,Nördlicher Prenzl. Berg,91.34275618374558,2006
0307,Südlicher Prenzl. Berg,92.56594724220624,2006
0401,Charlottenburg-Nord,72.11538461538461,2006
0402,Westend,87.3076923076923,2006
0403,Charlottenburg,82.68215417106653,2006
0404,Schmargendorf,79.33579335793358,2006
0405,Wilmersdorf,76.62921348314607,2006
0406,Forst Grunewald,0,2006
0501,SPA 1,76.37231503579952,2006
0502,SPA 2,78.51239669421487,2006
0503,SPA 3,75.84269662921348,2006
0504,SPA 4,89.63414634146342,2006
0601,Region A,85.37074148296593,2006
0602,Region B,85.91800356506239,2006
0603,Region C,89.2018779342723,2006
0604,Region D,87.54512635379061,2006
0701,Schöneberg-Nord,78.64321608040201,2006
0702,Schöneberg-Süd,83.06010928961749,2006
0703,Friedenau,84.83412322274881,2006
0704,Tempelhof,80.46709129511677,2006
0705,Mariendorf,81.00263852242745,2006
0706,Marienfelde,84.375,2006
0707,Lichtenrade,81.91964285714286,2006
0801,Neukölln,62.219371391917896,2006
0802,Britz-Buckow,76.32508833922262,2006
0803,Gropiusstadt,67.45762711864407,2006
0804,Buckow Nord / Rudow,80.89887640449439,2006
0901,Treptow-Köpenick 1,89.03743315508021,2006
0902,Treptow-Köpenick 2,87.97953964194373,2006
0903,Treptow-Köpenick 3,93.43065693430657,2006
0904,Treptow-Köpenick 4,94.46808510638297,2006
